0,1,2
9205019,4,0
9205020,8,0
9205021,95,1
9205022,28,0
9205024,35,0
9205025,8,0
9205026,7,0
9205027,435,1
9205028,95,1
9205029,59,1
9205030,23,0
9205031,52,1
9205032,2,0
9205033,9,0
9205034,45,0
9205035,2,0
9205036,0,0
9205037,73,1
9205038,5,0
9205039,61,1
9205040,23,0
9205041,165,1
9205042,3,0
9205043,63,1
9205044,3,0
9205045,15,0
9205046,110,1
9205047,2,0
9205048,14,0
9205049,12,0
9205050,11,0
9205051,54,1
9205052,14,0
9205053,3,0
9205054,0,0
9205055,362,1
9205056,24,0
9205057,3,0
9205058,50,0
9205059,53,1
9205060,6,0
9205061,21,0
9205062,17,0
9205063,10,0
9205064,94,1
9205065,13,0
9205066,45,0
9205067,8,0
9205068,1020,1
9205069,168,1
9205070,1020,1
9205071,76,1
9205072,198,1
9205073,15,0
9205074,71,1
9205075,0,0
9205076,1,0
9205077,14,0
9205079,0,0
9205080,193,1
9205081,113,1
9205082,19,0
9205083,2,0
9205085,28,0
9205086,51,1
9205087,48,0
9205088,433,1
9205089,214,1
9205090,335,1
9205091,13,0
9205092,82,1
9205093,9,0
9205094,26,0
9205095,40,0
9205096,7,0
9205097,8,0
9205098,26,0
9205099,19,0
9205101,14,0
9205102,31,0
9205103,76,1
9205104,1,0
9205105,7,0
9205106,23,0
9205107,32,0
9205108,0,0
9205109,8,0
9205110,0,0
9205111,25,0
9205112,3,0
9205113,21,0
9205114,28,0
9205115,80,1
9205116,53,1
9205117,5,0
9206001,7,0
9206002,91,1
9206003,80,1
9206006,138,1
9206007,130,1
9206008,7,0
9206009,9,0
9206010,11,0
9206012,7,0
9206013,7,0
9206016,79,1
9206017,5,0
9206018,39,0
9206019,14,0
9206020,176,1
9206021,255,1
9206023,3,0
9206024,51,1
9206025,15,0
9206026,95,1
9206027,277,1
9206028,41,0
9206029,123,1
9206030,2,0
9206031,9,0
9206033,36,0
9206034,106,1
9206035,155,1
9206036,13,0
9206037,165,1
9206038,37,0
9206039,96,1
9206041,33,0
9206042,7,0
9206044,186,1
9206045,19,0
9206046,162,1
9206047,181,1
9206048,48,0
9206049,259,1
9206050,25,0
9206051,25,0
9206052,37,0
9206053,147,1
9206054,11,0
9206055,88,1
9206056,83,1
9206057,27,0
9206058,8,0
9206059,4,0
9206060,66,1
9206061,25,0
9206062,16,0
9206063,36,0
9206065,42,0
9206066,9,0
9206067,18,0
9206068,0,0
9206069,12,0
9206070,371,1
9206071,37,0
9206072,4,0
9206073,7,0
9206074,5,0
9206075,29,0
9206076,19,0
9206077,32,0
9206078,176,1
9206079,9,0
9206080,21,0
9206081,169,1
9206082,6,0
9206083,44,0
9206084,797,1
9206085,4,0
9206087,39,0
9206088,47,0
9206089,14,0
9206090,67,1
9206091,18,0
9206092,22,0
9206093,41,0
9206094,59,1
9206095,51,1
9206096,47,0
9206097,24,0
9206098,45,0
9206099,27,0
9206100,15,0
9206101,28,0
9206102,13,0
9206103,48,0
9206104,4,0
9206105,6,0
9206106,104,1
9206107,48,0
9206108,7,0
9206109,2,0
9206110,3,0
9206111,10,0
9206112,33,0
9206113,6,0
9206114,60,1
9207001,29,0
9207002,22,0
9207003,28,0
9207005,61,1
9207006,57,1
9207007,16,0
9207008,29,0
9207009,30,0
9207010,21,0
9207011,95,1
9207012,1,0
9207013,2,0
9207014,10,0
9207015,20,0
9207016,637,1
9207017,112,1
9207018,15,0
9207019,41,0
9207020,56,1
9207021,0,0
9207022,7,0
9207023,3,0
9207024,57,1
9207026,4,0
9207027,4,0
9207028,18,0
9207029,61,1
9207030,2,0
9207031,5,0
9207032,53,1
9207034,88,1
9207035,7,0
9207036,0,0
9207037,4,0
9207038,4,0
9207039,26,0
9207041,153,1
9207042,108,1
9207043,108,1
9207044,0,0
9207045,26,0
9207047,12,0
9207048,13,0
9207050,81,1
9207051,10,0
9207052,0,0
9207053,216,1
9207055,216,1
9207056,5,0
9207057,25,0
9207058,6,0
9207059,0,0
9207060,112,1
9207061,38,0
9207062,1,0
9207063,2,0
9207064,36,0
9207065,42,0
9207066,20,0
9207067,64,1
9207068,10,0
9207069,14,0
9207070,40,0
9207071,16,0
9207072,25,0
9207073,25,0
9207074,23,0
9207075,13,0
9207076,80,1
9207077,23,0
9207078,15,0
9207079,18,0
9207080,36,0
9207081,20,0
9207082,29,0
9207083,13,0
9207084,170,1
9207085,0,0
9207086,25,0
9207087,7,0
9207088,28,0
9207089,0,0
9207090,4,0
9207091,145,1
9207092,50,0
9207093,0,0
9207094,808,1
9207095,106,1
9207096,46,0
9207097,28,0
9207098,0,0
9207099,6,0
9207100,0,0
9207101,21,0
9207102,72,1
9207103,381,1
9207105,64,1
9207106,0,0
9207108,34,0
9207109,19,0
9207110,8,0
9207111,86,1
9207112,0,0
9207113,20,0
9207114,41,0
9207115,1,0
9207116,11,0
9207117,16,0
9207118,18,0
9208001,45,0
9208002,68,1
9208003,3,0
9208005,35,0
9208006,99,1
9208007,393,1
9208008,98,1
9208009,16,0
9208010,41,0
9208011,38,0
9208012,49,0
9208013,20,0
9208014,18,0
9208015,37,0
9208016,12,0
9208017,40,0
9208018,27,0
9208019,2,0
9208020,26,0
9208022,13,0
9208023,141,1
9208024,281,1
9208025,1,0
9208026,79,1
9208027,86,1
9208028,22,0
9208029,81,1
9208030,87,1
9208031,145,1
9208032,87,1
9208033,12,0
9208034,0,0
9208035,74,1
9208036,130,1
9208037,23,0
9208038,16,0
9208039,7,0
9208040,7,0
9208041,73,1
9208042,13,0
9208043,0,0
9208044,146,1
9208045,30,0
9208046,74,1
9208047,109,1
9208048,13,0
9208049,17,0
9208050,5,0
9208051,3,0
9208052,17,0
9208053,78,1
9208054,12,0
9208055,52,1
9208056,9,0
9208057,59,1
9208058,46,0
9208059,129,1
9208060,18,0
9208062,30,0
9208064,13,0
9208065,13,0
9208066,113,1
9208067,48,0
9208068,4,0
9208069,20,0
9208071,15,0
9208072,42,0
9208073,14,0
9208074,151,1
9208075,12,0
9208076,38,0
9208077,17,0
9208078,75,1
9208079,36,0
9208080,4,0
9208081,3,0
9209001,6,0
9209002,10,0
9209003,212,1
9209004,0,0
9209005,165,1
9209006,42,0
9209007,39,0
9209008,84,1
9209009,54,1
9209010,3,0
9209011,16,0
9209012,199,1
9209013,13,0
9209014,79,1
9209015,56,1
9209016,166,1
9209017,0,0
9209018,8,0
9209019,7,0
9209020,32,0
9209021,10,0
9209022,30,0
9209023,102,1
9209024,32,0
9209026,1,0
9209027,26,0
9209028,13,0
9209029,11,0
9209030,7,0
9209031,61,1
9209032,305,1
9209033,3,0
9209034,28,0
9209037,47,0
9209039,7,0
9209040,82,1
9209041,71,1
9209042,22,0
9209043,49,0
9209044,251,1
9209045,17,0
9209046,32,0
9209047,18,0
9209048,16,0
9209049,212,1
9209050,1,0
9209051,0,0
9209052,92,1
9209053,106,1
9209054,223,1
9209055,139,1
9209056,1,0
9209057,10,0
9209058,334,1
9209059,3,0
9209060,27,0
9209061,4,0
9209062,44,0
9209064,6,0
9209065,10,0
9209066,34,0
9209067,0,0
9209068,2,0
9209069,7,0
9209070,156,1
9209071,0,0
9209072,21,0
9209073,30,0
9209074,41,0
9209075,11,0
9209076,114,1
9209077,49,0
9209078,9,0
9209079,15,0
9209080,4,0
9209081,5,0
9209082,4,0
9209083,60,1
9209084,5,0
9209085,96,1
9209086,50,0
9209087,0,0
9209088,17,0
9209089,4,0
9209091,2,0
9209092,1,0
9209093,0,0
9209094,30,0
9209095,0,0
9209096,1,0
9209097,8,0
9209098,4,0
9209099,642,1
9209100,0,0
9209101,10,0
9209102,73,1
9209103,119,1
9209104,9,0
9209105,41,0
9209106,56,1
9209107,7,0
9209108,0,0
9209109,1,0
9209110,13,0
9209111,39,0
9209112,9,0
9209113,43,0
9209114,5,0
9209115,25,0
9209116,93,1
9209117,15,0
9209118,32,0
9209119,51,1
9209120,30,0
9209121,0,0
9209122,36,0
9209124,0,0
9209125,49,0
9209126,3,0
9209127,1,0
9209128,0,0
9209129,0,0
9209130,31,0
9209131,0,0
9209132,2,0
9210001,19,0
9210002,58,1
9210003,14,0
9210004,2,0
9210005,13,0
9210007,15,0
9210008,40,0
9210009,51,1
9210010,725,1
9210011,48,0
9210012,73,1
9210013,75,1
9210014,0,0
9210015,89,1
9210016,10,0
9210017,61,1
9210018,455,1
9210019,1,0
9210020,8,0
9210021,373,1
9210022,8,0
9210023,5,0
9210024,65,1
9210025,7,0
9210026,7,0
9210027,14,0
9210028,106,1
9210029,33,0
9210030,11,0
9210031,21,0
9210032,35,0
9210033,30,0
9210034,1,0
9210035,36,0
9210036,43,0
9210037,78,1
9210038,22,0
9210040,21,0
9210041,21,0
9210042,20,0
9210043,0,0
9210044,69,1
9210045,48,0
9210046,427,1
9210047,2,0
9210048,4,0
9210049,13,0
9210050,24,0
9210051,3,0
9210052,37,0
9210053,4,0
9210054,28,0
9210055,8,0
9210056,0,0
9210057,0,0
9210058,9,0
9210059,0,0
9210060,34,0
9210061,16,0
9210062,3,0
9210064,6,0
9210065,328,1
9210066,8,0
9210067,0,0
9210068,271,1
9210070,33,0
9210071,11,0
9210072,19,0
9210073,162,1
9210074,1940,1
9210075,41,0
9210076,17,0
9210077,15,0
9210078,1,0
9210079,5,0
9210080,5,0
9210081,5,0
9210082,3,0
9210083,10,0
9210084,2,0
9210085,20,0
9210086,4,0
9210087,0,0
9210088,0,0
9210089,162,1
9210090,40,0
9210091,20,0
9210092,3,0
9210094,2,0
9210095,25,0
9210096,38,0
9210097,145,1
9210098,97,1
9210099,91,1
9210100,3,0
9210101,0,0
9210102,18,0
9210103,16,0
9210104,58,1
9210105,80,1
9210106,3,0
9210108,6,0
9210109,191,1
9210110,27,0
9210111,18,0
9210112,2,0
9210113,1,0
9210114,23,0
9210115,129,1
9210116,8,0
9210117,17,0
9210118,11,0
9210119,169,1
9210120,40,0
9210121,109,1
9210122,30,0
9210123,30,0
9210124,49,0
9210125,8,0
9210126,3,0
9210127,576,1
9210128,121,1
9210129,65,1
9210130,6,0
9210131,14,0
9210132,0,0
9210133,21,0
9210134,21,0
9210135,3,0
9210136,3,0
9210137,1,0
9210138,0,0
9210139,1,0
9210140,18,0
9210141,218,1
9210142,9,0
9210143,4,0
9210146,9,0
9210147,21,0
9210149,16,0
9210150,99,1
9210151,1,0
9210152,59,1
9210153,15,0
9210154,20,0
9210155,38,0
9210157,8,0
9210158,41,0
9210159,1,0
9210160,8,0
9210161,0,0
9210162,2,0
9210164,3,0
9210165,1,0
9211001,0,0
9211003,47,0
9211004,0,0
9211007,176,1
9211008,18,0
9211009,3,0
9211010,5,0
9211011,97,1
9211013,1,0
9211014,5,0
9211015,125,1
9211016,7,0
9211018,10,0
9211019,10,0
9211020,6,0
9211021,1167,1
9211022,2,0
9211024,2,0
9211025,21,0
9211026,5,0
9211027,21,0
9211028,11,0
9211029,20,0
9211030,130,1
9211032,20,0
9211033,6,0
9211034,121,1
9211035,79,1
9211036,5,0
9211037,4,0
9211038,53,1
9211040,173,1
9211041,24,0
9211043,0,0
9211044,129,1
9211045,7,0
9211046,6,0
9211047,43,0
9211048,7,0
9211050,7,0
9211051,4,0
9211052,14,0
9211053,198,1
9211054,63,1
9211055,5,0
9211056,135,1
9211057,19,0
9211058,0,0
9211059,73,1
9211060,0,0
9211061,75,1
9211062,5,0
9211063,26,0
9211064,18,0
9211065,6,0
9211066,127,1
9211068,6,0
9211069,4,0
9211070,11,0
9211071,108,1
9211072,208,1
9211073,8,0
9211074,8,0
9211075,23,0
9211076,58,1
9211077,6,0
9211078,2,0
9211079,3,0
9211080,20,0
9211081,155,1
9211082,41,0
9211083,12,0
9211084,11,0
9211085,18,0
9211086,4,0
9211087,0,0
9211088,21,0
9211089,4,0
9211090,3,0
9211091,7,0
9211092,3,0
9211093,36,0
9211094,2,0
9211095,37,0
9211096,90,1
9211097,509,1
9211098,7,0
9211099,33,0
9211100,25,0
9211102,170,1
9211103,43,0
9211104,61,1
9211105,54,1
9211106,18,0
9211107,15,0
9211108,16,0
9211109,124,1
9211110,0,0
9211111,325,1
9211112,12,0
9211113,36,0
9211114,264,1
9211115,34,0
9211116,7,0
9211117,15,0
9211118,21,0
9211119,134,1
9211120,26,0
9211121,53,1
9211122,7,0
9211123,3,0
9211124,35,0
9211125,5,0
9211126,102,1
9211127,1,0
9211128,4,0
9211129,4,0
9211130,30,0
9211131,0,0
9211132,25,0
9211133,156,1
9211134,20,0
9211135,30,0
9211136,0,0
9211137,12,0
9211138,23,0
9211139,12,0
9211140,7,0
9211141,1942,1
9212001,12,0
9212002,3,0
9212003,38,0
9212004,4,0
9212005,35,0
9212006,23,0
9212007,1,0
9212008,25,0
9212009,127,1
9212010,21,0
9212011,14,0
9212012,0,0
9212013,5,0
9212014,2,0
9212015,14,0
9212016,21,0
9212017,21,0
9212018,9,0
9212019,22,0
9212020,32,0
9212021,22,0
9212022,45,0
9212023,36,0
9212024,5,0
9212026,10,0
9212027,33,0
9212028,5,0
9212029,21,0
9212030,0,0
9212031,2,0
9212032,8,0
9212033,9,0
9212034,0,0
9212035,246,1
9212036,7,0
9212037,20,0
9212038,55,1
9212039,4,0
9212040,12,0
9212041,0,0
9212042,0,0
9212043,358,1
9212044,3,0
9212045,138,1
9212046,0,0
9212047,29,0
9212048,35,0
9212049,325,1
9212050,99,1
9212051,79,1
9212052,39,0
9212053,1,0
9212055,2,0
9212056,4,0
9212057,89,1
9212058,1,0
9212059,56,1
9212060,141,1
9212061,2,0
9212062,26,0
9212063,6,0
9212064,4,0
9212065,102,1
9212066,3,0
9212067,23,0
9212068,107,1
9212070,40,0
9212071,34,0
9212072,66,1
9212073,3,0
9212074,19,0
9212075,54,1
9212076,69,1
9212077,43,0
9212078,32,0
9212079,0,0
9212080,3,0
9212081,4,0
9212082,4,0
9212083,205,1
9212084,3,0
9212085,25,0
9212086,82,1
9212087,43,0
9212088,630,1
9212089,12,0
9212090,54,1
9212091,18,0
9212092,2,0
9212093,35,0
9212094,23,0
9212095,2,0
9212096,5,0
9212097,6,0
9212098,10,0
9212099,8,0
9212102,35,0
9212103,43,0
9212104,50,0
9212105,100,1
9212106,130,1
9212107,1,0
9212108,74,1
9212109,1,0
9212110,130,1
9212111,0,0
9212112,16,0
9212113,30,0
9212114,4,0
9212115,186,1
9212116,4,0
9212117,29,0
9212118,3,0
9212119,1,0
9212120,12,0
9212121,165,1
9212122,1,0
9212124,2,0
9212125,37,0
9212126,21,0
9212127,43,0
9212128,1,0
9212129,10,0
9212130,3,0
9212131,0,0
9212132,3,0
9212133,0,0
9212134,13,0
9212136,41,0
9212137,8,0
9212138,1,0
9212139,2,0
9212140,27,0
9212141,39,0
9212142,4,0
9212143,21,0
9212144,1,0
9212145,197,1
9212146,206,1
9212147,127,1
9212148,14,0
9212149,576,1
9212150,30,0
9212151,96,1
9212152,14,0
9212153,73,1
9212154,149,1
9212155,62,1
9212156,9,0
9212157,48,0
9212158,2,0
9301001,72,1
9301002,64,1
9301003,69,1
9301004,59,1
9301005,32,0
9301006,7,0
9301007,12,0
9301008,4,0
9301009,57,1
9301010,15,0
9301011,2,0
9301012,2,0
9301013,24,0
9301014,11,0
9301015,108,1
9301017,70,1
9301018,89,1
9301019,84,1
9301020,12,0
9301021,20,0
9301022,2,0
9301023,0,0
9301024,73,1
9301025,2,0
9301026,69,1
9301027,0,0
9301028,35,0
9301029,17,0
9301030,23,0
9301031,5,0
9301032,2,0
9301033,6,0
9301034,118,1
9301035,15,0
9301036,17,0
9301037,96,1
9301038,121,1
9301039,53,1
9301040,18,0
9301041,9,0
9301042,1758,1
9301043,167,1
9301044,0,0
9301045,5,0
9301046,216,1
9301047,76,1
9301048,3,0
9301049,15,0
9301050,78,1
9301051,53,1
9301052,1215,1
9301053,26,0
9301054,10,0
9301055,7,0
9301056,20,0
9301057,5,0
9301058,84,1
9301059,37,0
9301060,35,0
9301061,38,0
9301062,185,1
9301063,14,0
9301064,2,0
9301065,6,0
9301066,5,0
9301067,983,1
9301068,564,1
9301069,16,0
9301070,70,1
9301071,12,0
9301072,1,0
9301073,13,0
9301074,0,0
9301075,32,0
9301076,142,1
9301077,11,0
9301078,19,0
9301079,0,0
9301080,63,1
9301081,2,0
9301082,9,0
9301083,149,1
9301084,37,0
9301085,6,0
9301086,33,0
9301087,28,0
9301088,59,1
9301089,54,1
9301090,43,0
9301091,4,0
9301092,13,0
9301093,20,0
9301094,7,0
9301095,32,0
9301096,1,0
9301097,88,1
9301098,22,0
9301099,47,0
9301101,28,0
9301102,89,1
9301103,62,1
9301104,9,0
9301105,8,0
9301106,15,0
9301107,8,0
9301108,4,0
9301109,0,0
9301110,18,0
9301111,771,1
9301112,18,0
9301114,218,1
9301115,20,0
9301116,43,0
9301118,10,0
9301119,40,0
9301120,17,0
9301121,13,0
9301122,29,0
9301123,32,0
9301124,7,0
9301125,7,0
9301126,1,0
9301127,7,0
9301128,8,0
9301129,58,1
9301130,0,0
9301131,11,0
9301132,26,0
9302001,16,0
9302002,18,0
9302003,40,0
9302004,2,0
9302005,18,0
9302006,160,1
9302007,2,0
9302008,66,1
9302009,4,0
9302010,22,0
9302011,0,0
9302012,14,0
9302013,0,0
9302014,478,1
9302015,0,0
9302016,22,0
9302018,0,0
9302019,6,0
9302020,9,0
9302021,0,0
9302022,84,1
9302023,202,1
9302025,8,0
9302026,84,1
9302027,23,0
9302028,0,0
9302029,1,0
9302030,10,0
9302032,6,0
9302033,155,1
9302034,45,0
9302035,42,0
9302036,518,1
9302037,53,1
9302038,48,0
9302039,13,0
9302040,37,0
9302041,12,0
9302042,22,0
9302043,10,0
